Date,VIX Open,VIX High,VIX Low,VIX Close
01/02/90,n/a,n/a,n/a,17.24
01/03/90,n/a,n/a,n/a,18.19
01/04/90,n/a,n/a,n/a,19.22
01/05/90,n/a,n/a,n/a,20.11
01/08/90,n/a,n/a,n/a,20.26
01/09/90,n/a,n/a,n/a,22.20
01/10/90,n/a,n/a,n/a,22.44
01/11/90,n/a,n/a,n/a,20.05
01/12/90,n/a,n/a,n/a,24.64
01/15/90,n/a,n/a,n/a,26.34
01/16/90,n/a,n/a,n/a,24.18
01/17/90,n/a,n/a,n/a,24.16
01/18/90,n/a,n/a,n/a,24.34
01/19/90,n/a,n/a,n/a,22.50
01/22/90,n/a,n/a,n/a,26.70
01/23/90,n/a,n/a,n/a,24.72
01/24/90,n/a,n/a,n/a,25.39
01/25/90,n/a,n/a,n/a,25.63
01/26/90,n/a,n/a,n/a,26.28
01/29/90,n/a,n/a,n/a,26.44
01/30/90,n/a,n/a,n/a,27.25
01/31/90,n/a,n/a,n/a,25.36
02/01/90,n/a,n/a,n/a,24.87
02/02/90,n/a,n/a,n/a,24.32
02/05/90,n/a,n/a,n/a,24.54
02/06/90,n/a,n/a,n/a,24.69
02/07/90,n/a,n/a,n/a,24.29
02/08/90,n/a,n/a,n/a,23.77
02/09/90,n/a,n/a,n/a,23.69
02/12/90,n/a,n/a,n/a,24.38
02/13/90,n/a,n/a,n/a,23.76
02/14/90,n/a,n/a,n/a,22.05
02/15/90,n/a,n/a,n/a,19.71
02/16/90,n/a,n/a,n/a,20.78
02/20/90,n/a,n/a,n/a,22.78
02/21/90,n/a,n/a,n/a,23.89
02/22/90,n/a,n/a,n/a,22.54
02/23/90,n/a,n/a,n/a,23.69
02/26/90,n/a,n/a,n/a,23.56
02/27/90,n/a,n/a,n/a,22.69
02/28/90,n/a,n/a,n/a,21.99
03/01/90,n/a,n/a,n/a,21.90
03/02/90,n/a,n/a,n/a,21.34
03/05/90,n/a,n/a,n/a,22.03
03/06/90,n/a,n/a,n/a,20.55
03/07/90,n/a,n/a,n/a,19.10
03/08/90,n/a,n/a,n/a,19.74
03/09/90,n/a,n/a,n/a,20.30
03/12/90,n/a,n/a,n/a,20.07
03/13/90,n/a,n/a,n/a,21.05
03/14/90,n/a,n/a,n/a,19.65
03/15/90,n/a,n/a,n/a,18.81
03/16/90,n/a,n/a,n/a,17.62
03/19/90,n/a,n/a,n/a,18.29
03/20/90,n/a,n/a,n/a,19.06
03/21/90,n/a,n/a,n/a,20.10
03/22/90,n/a,n/a,n/a,22.74
03/23/90,n/a,n/a,n/a,20.46
03/26/90,n/a,n/a,n/a,19.59
03/27/90,n/a,n/a,n/a,21.01
03/28/90,n/a,n/a,n/a,19.77
03/29/90,n/a,n/a,n/a,18.46
03/30/90,n/a,n/a,n/a,19.73
04/02/90,n/a,n/a,n/a,22.84
04/03/90,n/a,n/a,n/a,20.44
04/04/90,n/a,n/a,n/a,22.03
04/05/90,n/a,n/a,n/a,21.21
04/06/90,n/a,n/a,n/a,21.76
04/09/90,n/a,n/a,n/a,22.30
04/10/90,n/a,n/a,n/a,21.69
04/11/90,n/a,n/a,n/a,17.73
04/12/90,n/a,n/a,n/a,19.80
04/16/90,n/a,n/a,n/a,20.75
04/17/90,n/a,n/a,n/a,20.38
04/18/90,n/a,n/a,n/a,22.67
04/19/90,n/a,n/a,n/a,22.46
04/20/90,n/a,n/a,n/a,23.33
04/23/90,n/a,n/a,n/a,24.16
04/24/90,n/a,n/a,n/a,21.70
04/25/90,n/a,n/a,n/a,20.86
04/26/90,n/a,n/a,n/a,20.25
04/27/90,n/a,n/a,n/a,22.19
04/30/90,n/a,n/a,n/a,19.52
05/01/90,n/a,n/a,n/a,18.43
05/02/90,n/a,n/a,n/a,19.32
05/03/90,n/a,n/a,n/a,17.81
05/04/90,n/a,n/a,n/a,17.28
05/07/90,n/a,n/a,n/a,17.65
05/08/90,n/a,n/a,n/a,18.49
05/09/90,n/a,n/a,n/a,18.64
05/10/90,n/a,n/a,n/a,18.59
05/11/90,n/a,n/a,n/a,19.81
05/14/90,n/a,n/a,n/a,20.14
05/15/90,n/a,n/a,n/a,19.49
05/16/90,n/a,n/a,n/a,17.71
05/17/90,n/a,n/a,n/a,17.27
05/18/90,n/a,n/a,n/a,17.20
05/21/90,n/a,n/a,n/a,16.72
05/22/90,n/a,n/a,n/a,17.84
05/23/90,n/a,n/a,n/a,17.18
05/24/90,n/a,n/a,n/a,17.70
05/25/90,n/a,n/a,n/a,17.32
05/29/90,n/a,n/a,n/a,18.75
05/30/90,n/a,n/a,n/a,17.44
05/31/90,n/a,n/a,n/a,17.37
06/01/90,n/a,n/a,n/a,17.09
06/04/90,n/a,n/a,n/a,18.39
06/05/90,n/a,n/a,n/a,18.97
06/06/90,n/a,n/a,n/a,17.42
06/07/90,n/a,n/a,n/a,16.88
06/08/90,n/a,n/a,n/a,17.58
06/11/90,n/a,n/a,n/a,16.34
06/12/90,n/a,n/a,n/a,16.60
06/13/90,n/a,n/a,n/a,17.38
06/14/90,n/a,n/a,n/a,17.40
06/15/90,n/a,n/a,n/a,15.90
06/18/90,n/a,n/a,n/a,17.71
06/19/90,n/a,n/a,n/a,15.23
06/20/90,n/a,n/a,n/a,15.27
06/21/90,n/a,n/a,n/a,14.72
06/22/90,n/a,n/a,n/a,19.36
06/25/90,n/a,n/a,n/a,17.06
06/26/90,n/a,n/a,n/a,16.29
06/27/90,n/a,n/a,n/a,16.00
06/28/90,n/a,n/a,n/a,16.18
06/29/90,n/a,n/a,n/a,15.50
07/02/90,n/a,n/a,n/a,16.26
07/03/90,n/a,n/a,n/a,16.11
07/05/90,n/a,n/a,n/a,17.25
07/06/90,n/a,n/a,n/a,16.41
07/09/90,n/a,n/a,n/a,16.66
07/10/90,n/a,n/a,n/a,16.92
07/11/90,n/a,n/a,n/a,16.68
07/12/90,n/a,n/a,n/a,17.06
07/13/90,n/a,n/a,n/a,17.09
07/16/90,n/a,n/a,n/a,16.75
07/17/90,n/a,n/a,n/a,16.66
07/18/90,n/a,n/a,n/a,18.90
07/19/90,n/a,n/a,n/a,18.56
07/20/90,n/a,n/a,n/a,15.63
07/23/90,n/a,n/a,n/a,23.68
07/24/90,n/a,n/a,n/a,21.79
07/25/90,n/a,n/a,n/a,20.19
07/26/90,n/a,n/a,n/a,20.26
07/27/90,n/a,n/a,n/a,21.12
07/30/90,n/a,n/a,n/a,21.16
07/31/90,n/a,n/a,n/a,21.11
08/01/90,n/a,n/a,n/a,21.64
08/02/90,n/a,n/a,n/a,20.43
08/03/90,n/a,n/a,n/a,28.74
08/06/90,n/a,n/a,n/a,35.91
08/07/90,n/a,n/a,n/a,32.75
08/08/90,n/a,n/a,n/a,28.27
08/09/90,n/a,n/a,n/a,24.39
08/10/90,n/a,n/a,n/a,25.75
08/13/90,n/a,n/a,n/a,25.74
08/14/90,n/a,n/a,n/a,24.18
08/15/90,n/a,n/a,n/a,23.31
08/16/90,n/a,n/a,n/a,27.16
08/17/90,n/a,n/a,n/a,27.53
08/20/90,n/a,n/a,n/a,26.46
08/21/90,n/a,n/a,n/a,28.90
08/22/90,n/a,n/a,n/a,30.55
08/23/90,n/a,n/a,n/a,36.47
08/24/90,n/a,n/a,n/a,33.93
08/27/90,n/a,n/a,n/a,29.63
08/28/90,n/a,n/a,n/a,29.12
08/29/90,n/a,n/a,n/a,27.38
08/30/90,n/a,n/a,n/a,29.89
08/31/90,n/a,n/a,n/a,29.90
09/04/90,n/a,n/a,n/a,29.58
09/05/90,n/a,n/a,n/a,28.52
09/06/90,n/a,n/a,n/a,30.19
09/07/90,n/a,n/a,n/a,28.73
09/10/90,n/a,n/a,n/a,29.34
09/11/90,n/a,n/a,n/a,28.38
