Date,Open,High,Low,Close
1/2/86,17.93,18.71,17.4,18.07
1/3/86,19.04,19.1,17.72,17.96
1/6/86,17.99,18.17,17.05,17.05
1/7/86,18.01,18.11,17.3,17.39
1/8/86,18.04,21.15,16.63,19.97
1/9/86,19.11,21.66,19.11,20.2
1/10/86,20.69,21.44,18.35,18.45
1/13/86,18.91,19.57,18.29,18.8
1/14/86,18.6,18.68,17.67,18.06
1/15/86,18.46,18.87,17.25,18.87
1/16/86,18.83,19.48,18.29,18.58
1/17/86,19.45,19.87,17.99,17.99
1/20/86,18.15,18.49,16.78,17.09
1/21/86,17.38,17.61,16.01,16.86
1/22/86,17.16,17.52,16.29,16.66
1/23/86,17.32,17.48,16.76,17.14
1/24/86,17.46,17.67,16.83,17.22
1/27/86,17.36,18.11,17.01,17.38
1/28/86,17.71,18.24,17.45,17.47
1/29/86,18.55,19.09,17.84,18.76
1/30/86,19.6,19.96,19.01,19.12
1/31/86,19.45,20.52,19.08,19.58
2/3/86,20.61,20.75,19.01,19.41
2/4/86,19.86,21.24,19.78,20.82
2/5/86,20.76,21.68,20.63,20.72
2/6/86,21.49,22.08,20.92,21.07
2/7/86,21.77,22.63,18.71,22.12
2/10/86,21.14,21.34,20.39,20.4
2/11/86,21.12,21.25,20.23,20.23
2/12/86,20.82,20.86,19.38,19.53
2/13/86,20.02,20.26,18.13,18.13
2/14/86,19.31,19.56,17.88,17.96
2/18/86,19.67,20.95,19.35,19.79
2/19/86,20.38,21.42,19.91,20.72
2/20/86,20.5,21.81,20.5,20.76
2/21/86,21.16,21.73,20.61,21.27
2/24/86,21.58,22.31,21.02,21.52
2/25/86,21.95,22.61,21.58,22.05
2/26/86,22.81,22.96,22.09,22.38
2/27/86,22.29,23.01,21.11,21.39
2/28/86,21.65,22.36,21.06,21.59
3/3/86,21.88,22.16,21.09,21.17
3/4/86,21.84,22.07,19.88,19.94
3/5/86,20.76,21.13,20.08,20.42
3/6/86,21.21,22.4,21.21,21.66
3/7/86,22.02,22.56,21.32,21.39
3/10/86,22.3,22.63,21.3,21.49
3/11/86,22.01,22.39,21.02,21.87
3/12/86,21.93,23.72,21.8,23.14
3/13/86,23.93,25.08,23.42,24.29
3/14/86,25.01,25.52,23.78,24.83
3/17/86,26.19,26.49,25.39,25.45
3/18/86,26.47,26.95,25.48,26.27
3/19/86,26.55,26.79,25.13,25.82
3/20/86,26.87,27.52,26.33,26.52
3/21/86,27.13,27.49,25.85,26.91
3/24/86,26.02,26.27,23.27,24.01
3/25/86,25.12,25.7,24.29,24.4
3/26/86,25.02,25.62,24.42,24.81
3/27/86,24.94,25.12,22.73,23.56
3/31/86,24.39,24.54,23.09,23.33
4/1/86,24.15,24.93,21.37,24.7
4/2/86,25.08,25.72,23.43,24.21
4/3/86,24.56,24.96,23.56,24.66
4/4/86,25.26,25.26,23.78,23.97
4/7/86,24.27,24.27,23.07,23.52
4/8/86,23.99,24.52,23.29,24.08
4/9/86,24.75,25.31,23.65,23.65
4/10/86,25.26,25.8,24.05,24.08
4/11/86,25.27,25.48,23.68,23.84
4/14/86,24.58,24.85,23.07,23.07
4/15/86,24.19,24.71,23.25,23.79
4/16/86,23.94,24.15,22.44,22.94
4/17/86,23.91,24.06,22.51,22.72
4/18/86,23.12,23.12,21.15,21.45
4/21/86,21.66,22.62,20.63,21.06
4/22/86,21.99,22.31,20.94,21.68
4/23/86,22.21,22.8,21.36,21.4
4/24/86,22.47,23.28,21.75,22.28
4/25/86,22.72,23.37,22.19,22.27
4/28/86,23.3,23.4,22.17,22.57
4/29/86,22.35,23.81,21.98,22.71
4/30/86,22.86,23.02,21.67,21.69
5/1/86,22.18,22.94,21.61,21.92
5/2/86,22.31,22.61,20.48,20.73
5/5/86,21.46,21.56,20.49,20.57
5/6/86,21.17,21.6,19.44,20.76
5/7/86,21.13,21.21,19.94,20.31
5/8/86,20.78,21.04,19.88,19.9
5/9/86,20.59,20.61,19.05,19.14
5/12/86,19.57,20.07,18.77,19.42
5/13/86,20.13,20.13,18.6,19.48
5/14/86,19.18,19.81,17.35,19.42
5/16/86,18.96,19.41,17.73,18.11
5/19/86,17.89,18.29,17.37,17.79
5/20/86,17.79,18.08,16.81,17.28
5/21/86,17.68,17.78,16.58,16.87
5/22/86,17.07,17.67,16.64,16.99
5/23/86,17.27,17.55,16.47,16.74
5/27/86,17.49,17.63,16.73,16.92
5/28/86,17.25,18.69,17.18,17.75
5/29/86,18.35,18.86,17.93,18.76
5/30/86,18.84,19.33,15.75,18.89
6/2/86,18.55,18.93,17.36,18.28
6/3/86,18.78,18.92,18.12,18.55
6/4/86,18.66,19.09,18.32,18.48
6/5/86,18.66,19.15,18.2,18.2
6/6/86,18.74,19.18,18.27,18.4
6/9/86,18.94,19.34,18.2,18.64
6/10/86,18.62,21.16,17.88,18.32
6/11/86,18.93,19.25,18.41,18.66
6/12/86,19.02,19.23,18.47,18.52
6/13/86,18.83,19.72,18.15,18.65
6/16/86,18.53,19.22,18.13,18.66
6/17/86,19.42,19.83,18.61,18.88
6/18/86,19.3,19.9,18.5,18.72
6/19/86,19.65,20.17,19.01,19.12
6/20/86,19.49,20.03,18.79,19.09
6/23/86,19.17,19.25,18.09,18.31
6/24/86,18.79,19.68,18.35,18.79
6/25/86,19.23,19.47,18.47,18.65
6/26/86,18.91,19.48,18.56,18.76
6/27/86,19.02,19.35,18.57,18.57
6/30/86,19.17,19.17,18.14,18.31
7/1/86,18.72,18.84,17.8,17.85
7/2/86,18.44,18.6,17.37,17.4
7/3/86,18.21,18.21,17.39,17.56
7/7/86,18.54,19.49,17.99,18.87
7/8/86,18.5,21.36,18.5,19.27
7/9/86,19.68,20.01,19.02,19.36
7/10/86,19.64,20.56,18.65,19.27
7/11/86,19.93,20.35,18.97,19.26
7/14/86,19.97,20.61,18.15,20.05
7/15/86,20.43,23.59,19.67,20.92
7/16/86,21.73,22.02,20.72,21.16
7/17/86,21.66,21.94,21,21.28
7/18/86,21.9,22.21,19.84,21.59
7/21/86,21.65,21.8,20.56,20.76
7/22/86,21.39,21.47,20,20
7/23/86,20.63,20.88,19.73,20.23
7/24/86,20.3,21.01,19.93,20.12
7/25/86,20.03,20.49,19.29,19.69
7/28/86,19.53,20.06,18.56,19.43
7/29/86,20.13,20.37,18.98,18.98
7/30/86,19.77,20.3,19.23,19.44
7/31/86,19.78,20.35,19.33,19.57
8/1/86,19.91,20.28,19.04,19.38
8/4/86,19.8,20.2,19.02,19.46
8/5/86,20.26,20.55,19.54,19.58
8/6/86,20.23,20.28,19.42,19.6
8/7/86,20.57,21.04,19.9,20.49
8/8/86,20.52,20.64,19.84,20.07
8/11/86,19.88,20.45,19.21,19.42
8/12/86,19.51,20,17.95,18.48
8/13/86,18.68,19.76,18.26,19.12
8/14/86,18.74,19.4,18.18,18.58
8/15/86,18.77,19.14,17.95,17.96
8/18/86,18.63,18.85,17.75,17.79
