Date,Open,High,Low,Close
10/7/97,21.91,22.09,21.48,21.48
10/8/97,21.52,22.5,21.52,21.62
10/9/97,22.54,22.56,21.38,21.76
10/10/97,21.8,22.46,21.62,21.63
10/13/97,22.32,22.66,22.07,22.33
10/14/97,21.93,22.73,21.89,22.15
10/15/97,22.44,22.62,21.97,22.09
10/16/97,21.72,22.64,21.51,22.18
10/17/97,22.02,23.09,21.68,22.37
10/20/97,22.54,22.71,21.9,22.12
10/21/97,21.39,21.89,21.24,21.44
10/22/97,21.28,21.82,21.14,21.39
10/23/97,22.37,24.17,22.37,23.24
10/24/97,22.08,23.7,21.95,23.69
10/28/97,39.01,41.12,30.26,31.2
10/29/97,30.3,33.19,29.6,33.07
10/30/97,35.91,36.48,34.2,36.48
10/31/97,34.88,35.15,33.07,33.68
11/3/97,32.27,32.27,31.14,31.48
11/4/97,31.59,32.6,31.11,31.81
11/5/97,31.58,32.41,31.14,31.54
11/6/97,31.75,32.52,31.43,31.73
11/7/97,34.53,35.75,32.86,34.25
11/10/97,33.23,36.16,33.23,36.16
11/11/97,34.86,35.47,33.84,34.17
11/12/97,35.02,36.05,33.73,35.96
11/13/97,34.72,36.8,34.53,35.26
11/14/97,33.81,33.84,31.88,32.4
11/17/97,32.23,32.23,29.33,30.36
11/18/97,29.38,30.26,29.26,29.61
11/19/97,29.66,30.24,28.49,28.67
11/20/97,28.18,28.26,26.78,27.01
11/21/97,27.1,27.1,25.49,26.01
11/24/97,27.79,28.95,27.48,28.87
11/25/97,28.64,29.11,28,28.15
11/26/97,28.02,28.54,26.62,26.96
11/28/97,27.59,27.72,26.55,27.01
12/1/97,27.5,27.5,25.4,25.4
12/2/97,25.68,25.81,25.22,25.47
12/3/97,25.41,25.55,23.37,23.67
12/4/97,23.67,24.48,23.12,24.33
12/5/97,24.26,24.26,22.75,22.75
12/8/97,23.56,23.86,23.37,23.44
12/9/97,23.69,23.73,22.87,23.15
12/10/97,23.27,25.58,23.27,24.83
12/11/97,23.27,28.34,26.1,27.44
12/12/97,26.44,28.27,26.38,27.64
12/15/97,27.89,28.28,26.91,26.95
12/16/97,25.89,26.1,25.36,25.76
12/17/97,25.39,26.19,25.14,25.97
12/18/97,26.12,28.13,26.09,27.47
12/19/97,28.65,32.82,28.56,29.07
12/22/97,28.78,28.94,27.88,28.08
12/23/97,28.4,29.59,27.46,29.33
12/24/97,28.92,29.53,28.6,29.1
12/26/97,28.82,29.15,28.54,28.55
12/29/97,28.35,28.44,26.25,26.55
12/30/97,25.96,26.02,23.9,24.13
12/31/97,23.94,23.98,23.49,23.92
1/2/98,24.19,24.33,23.37,23.37
1/5/98,23.89,24.57,23.19,24.18
1/6/98,24.51,25.6,24.4,25.25
1/7/98,25.32,26.58,25.15,25.21
1/8/98,25.22,25.96,25.12,25.69
1/9/98,25.87,29.66,25.79,29.45
1/12/98,32.44,32.61,27.68,27.79
1/13/98,27.26,27.28,24.99,25.16
1/14/98,25.54,25.58,23.78,23.78
1/15/98,24.6,24.6,23.68,23.95
1/16/98,22.66,22.83,21.36,22.16
1/20/98,23.06,23.46,21.61,22.04
1/21/98,22.95,23.56,21.95,21.95
1/22/98,22.9,23.59,22.56,23.09
1/23/98,22.34,24.22,22.32,22.99
1/26/98,23.37,24.05,23.28,23.6
1/27/98,23.27,23.61,22.18,22.57
1/28/98,22.32,22.73,21.89,22.18
1/29/98,22.29,22.3,21.13,21.71
1/30/98,21.81,22.08,21.4,21.66
2/2/98,21.52,21.71,20.73,21.67
2/3/98,21.59,21.85,21.22,21.24
2/4/98,21.43,21.72,20.99,21.08
2/5/98,20.4,21.7,20.39,21.37
2/6/98,21.07,21.11,20.76,20.89
2/9/98,21.66,21.94,21.57,21.7
2/10/98,21.43,21.64,20.66,21.12
2/11/98,21.09,21.28,20.45,20.55
2/12/98,20.72,21.16,19.67,20
2/13/98,20.22,20.25,19.72,19.94
2/17/98,20.3,20.67,19.89,20.65
2/18/98,20.44,20.56,19.56,19.66
2/19/98,19.79,19.98,19.46,19.92
2/20/98,19.97,20.12,19.13,19.3
2/23/98,19.3,19.8,19.11,19.34
2/24/98,19.41,19.82,19.24,19.74
2/25/98,19.43,19.51,18.78,19.03
2/26/98,19.35,19.47,18.97,19.09
2/27/98,18.44,19.44,18.1,19.05
3/2/98,19.72,20.25,19.38,19.72
3/3/98,19.48,19.61,19.15,19.18
3/4/98,19.49,20.15,19.42,19.67
3/5/98,20.85,21.35,20.44,21.11
3/6/98,19.8,19.84,19.23,19.3
3/9/98,19.68,20.78,19.2,20.2
3/10/98,19.61,19.72,19.3,19.49
3/11/98,18.95,19.15,18.52,18.84
3/12/98,18.72,18.82,17.77,17.84
3/13/98,17.11,18.64,16.94,18.64
3/16/98,18.45,18.72,18.03,18.03
3/17/98,17.96,18.46,17.92,18.01
3/18/98,18.39,18.39,17.67,17.67
