Date,Open,High,Low,Close
2/2/01,n/a,n/a,n/a,54.89
2/5/01,n/a,n/a,n/a,55.85
2/6/01,n/a,n/a,n/a,53.68
2/7/01,n/a,n/a,n/a,54.41
2/8/01,n/a,n/a,n/a,54.66
2/9/01,n/a,n/a,n/a,55.85
2/12/01,n/a,n/a,n/a,57.05
2/13/01,n/a,n/a,n/a,58.42
2/14/01,n/a,n/a,n/a,57.49
2/15/01,n/a,n/a,n/a,55.19
2/16/01,n/a,n/a,n/a,55.34
2/20/01,n/a,n/a,n/a,57.93
2/21/01,n/a,n/a,n/a,59.57
2/22/01,n/a,n/a,n/a,60.99
2/23/01,n/a,n/a,n/a,62.03
2/26/01,n/a,n/a,n/a,61.77
2/27/01,n/a,n/a,n/a,63.27
2/28/01,n/a,n/a,n/a,63.65
3/1/01,n/a,n/a,n/a,64.32
3/2/01,n/a,n/a,n/a,65.69
3/5/01,n/a,n/a,n/a,64.19
3/6/01,n/a,n/a,n/a,61.2
3/7/01,n/a,n/a,n/a,59.17
3/8/01,n/a,n/a,n/a,59.1
3/9/01,n/a,n/a,n/a,60.4
3/12/01,n/a,n/a,n/a,68.1
3/13/01,n/a,n/a,n/a,67.31
3/14/01,n/a,n/a,n/a,64.79
3/15/01,n/a,n/a,n/a,64.77
3/16/01,n/a,n/a,n/a,65.53
3/19/01,n/a,n/a,n/a,65.99
3/20/01,n/a,n/a,n/a,65.94
3/21/01,n/a,n/a,n/a,62.29
3/22/01,n/a,n/a,n/a,62.3
3/23/01,n/a,n/a,n/a,61.48
3/26/01,n/a,n/a,n/a,62.02
3/27/01,n/a,n/a,n/a,58.53
3/28/01,n/a,n/a,n/a,60.17
3/29/01,n/a,n/a,n/a,62.37
3/30/01,n/a,n/a,n/a,62.23
4/2/01,n/a,n/a,n/a,63.87
4/3/01,n/a,n/a,n/a,65.02
4/4/01,n/a,n/a,n/a,65.33
4/5/01,n/a,n/a,n/a,65.79
4/6/01,n/a,n/a,n/a,67.24
4/9/01,n/a,n/a,n/a,66.1
4/10/01,n/a,n/a,n/a,66.19
4/11/01,n/a,n/a,n/a,63.28
4/12/01,n/a,n/a,n/a,59.23
4/16/01,n/a,n/a,n/a,65.57
4/17/01,n/a,n/a,n/a,64.99
4/18/01,n/a,n/a,n/a,62.23
4/19/01,n/a,n/a,n/a,64.04
4/20/01,n/a,n/a,n/a,65.58
4/23/01,n/a,n/a,n/a,68.78
4/24/01,n/a,n/a,n/a,70.06
4/25/01,n/a,n/a,n/a,68.98
4/26/01,n/a,n/a,n/a,67.29
4/27/01,n/a,n/a,n/a,61.54
4/30/01,n/a,n/a,n/a,61.13
5/1/01,n/a,n/a,n/a,58.87
5/2/01,n/a,n/a,n/a,57.16
5/3/01,n/a,n/a,n/a,60.92
5/4/01,n/a,n/a,n/a,58.18
5/7/01,n/a,n/a,n/a,57.45
5/8/01,n/a,n/a,n/a,56.85
5/9/01,n/a,n/a,n/a,57.18
5/10/01,n/a,n/a,n/a,57.96
5/11/01,n/a,n/a,n/a,57.09
5/14/01,n/a,n/a,n/a,59.67
5/15/01,n/a,n/a,n/a,57.28
5/16/01,n/a,n/a,n/a,53.68
5/17/01,n/a,n/a,n/a,51.93
5/18/01,n/a,n/a,n/a,47.06
5/21/01,n/a,n/a,n/a,47.63
5/22/01,n/a,n/a,n/a,46.28
5/23/01,n/a,n/a,n/a,47.78
5/24/01,n/a,n/a,n/a,46.51
5/25/01,n/a,n/a,n/a,46.52
5/29/01,n/a,n/a,n/a,49.87
5/30/01,n/a,n/a,n/a,52.7
5/31/01,n/a,n/a,n/a,52.53
6/1/01,n/a,n/a,n/a,49.94
6/4/01,n/a,n/a,n/a,51.43
6/5/01,n/a,n/a,n/a,48.76
6/6/01,n/a,n/a,n/a,48.32
6/7/01,n/a,n/a,n/a,46.66
6/8/01,n/a,n/a,n/a,47.12
6/11/01,n/a,n/a,n/a,48.52
6/12/01,n/a,n/a,n/a,48.24
6/13/01,n/a,n/a,n/a,51.08
6/14/01,n/a,n/a,n/a,52.9
6/15/01,n/a,n/a,n/a,53.02
6/18/01,n/a,n/a,n/a,51.15
6/19/01,n/a,n/a,n/a,49.98
6/20/01,n/a,n/a,n/a,48.48
6/21/01,n/a,n/a,n/a,46.63
6/22/01,n/a,n/a,n/a,45.86
6/25/01,n/a,n/a,n/a,48.13
6/26/01,n/a,n/a,n/a,46.51
6/27/01,n/a,n/a,n/a,45.47
6/28/01,n/a,n/a,n/a,42.77
6/29/01,n/a,n/a,n/a,40.15
7/2/01,n/a,n/a,n/a,40.3
7/3/01,n/a,n/a,n/a,41.68
7/5/01,n/a,n/a,n/a,44.15
7/6/01,n/a,n/a,n/a,45.65
7/9/01,n/a,n/a,n/a,46.08
7/10/01,n/a,n/a,n/a,50.04
7/11/01,n/a,n/a,n/a,50.61
7/12/01,n/a,n/a,n/a,47.5
7/13/01,n/a,n/a,n/a,47.06
7/16/01,n/a,n/a,n/a,48.86
7/17/01,n/a,n/a,n/a,49.63
7/18/01,n/a,n/a,n/a,50.67
7/19/01,n/a,n/a,n/a,48.83
7/20/01,n/a,n/a,n/a,48.1
7/23/01,n/a,n/a,n/a,49.98
7/24/01,n/a,n/a,n/a,52.36
7/25/01,n/a,n/a,n/a,50.39
7/26/01,n/a,n/a,n/a,48
7/27/01,n/a,n/a,n/a,47.27
7/30/01,n/a,n/a,n/a,47.98
7/31/01,n/a,n/a,n/a,46.35
8/1/01,n/a,n/a,n/a,45.54
8/2/01,n/a,n/a,n/a,45.36
8/3/01,n/a,n/a,n/a,45.5
8/6/01,n/a,n/a,n/a,47.31
8/7/01,n/a,n/a,n/a,47.35
8/8/01,n/a,n/a,n/a,46.72
8/9/01,n/a,n/a,n/a,46.9
8/10/01,n/a,n/a,n/a,47.12
8/13/01,n/a,n/a,n/a,48.19
8/14/01,n/a,n/a,n/a,48.4
8/15/01,n/a,n/a,n/a,48.19
8/16/01,n/a,n/a,n/a,49.13
8/17/01,n/a,n/a,n/a,50.34
8/20/01,n/a,n/a,n/a,50.7
8/21/01,n/a,n/a,n/a,51.22
8/22/01,n/a,n/a,n/a,49.69
8/23/01,n/a,n/a,n/a,47.97
8/24/01,n/a,n/a,n/a,45.76
8/27/01,n/a,n/a,n/a,46.01
8/28/01,n/a,n/a,n/a,46.78
8/29/01,n/a,n/a,n/a,47.12
8/30/01,n/a,n/a,n/a,49.43
8/31/01,n/a,n/a,n/a,49.77
9/4/01,n/a,n/a,n/a,52.75
9/5/01,n/a,n/a,n/a,52.9
9/6/01,n/a,n/a,n/a,55.43
9/7/01,n/a,n/a,n/a,56.97
