,SP500,logSP500
12/31/63,75.02,
1/1/64,75.02,0
1/2/64,75.43,0.002367048
1/3/64,75.5,0.000402844
1/6/64,75.67,0.000976782
1/7/64,75.69,0.000114771
1/8/64,76,0.001775087
1/9/64,76.28,0.001597092
1/10/64,76.24,-0.000227797
1/13/64,76.22,-0.000113943
1/14/64,76.36,0.000796975
1/15/64,76.64,0.001589576
1/16/64,76.55,-0.000510301
1/17/64,76.56,5.67297E-05
1/20/64,76.41,-0.000851725
1/21/64,76.62,0.001191948
1/22/64,77.03,0.00231775
1/23/64,77.09,0.000338148
1/24/64,77.11,0.000112657
1/27/64,77.08,-0.000168997
1/28/64,77.1,0.000112672
1/29/64,76.63,-0.002655552
1/30/64,76.7,0.000396538
1/31/64,77.04,0.00192091
2/3/64,76.97,-0.000394788
2/4/64,76.88,-0.000508112
2/5/64,76.75,-0.000734991
2/6/64,76.93,0.001017348
2/7/64,77.18,0.001409042
2/10/64,77.05,-0.000732131
2/11/64,77.33,0.001575367
2/12/64,77.57,0.001345781
2/13/64,77.52,-0.000280027
2/14/64,77.48,-0.000224152
2/17/64,77.46,-0.000112119
2/18/64,77.47,5.60633E-05
2/19/64,77.55,0.000448246
2/20/64,77.62,0.000391836
2/21/64,77.62,0
2/24/64,77.68,0.000335578
2/25/64,77.68,0
2/26/64,77.87,0.001060958
2/27/64,77.62,-0.001396536
2/28/64,77.8,0.001005959
3/2/64,77.97,0.000947937
3/3/64,78.22,0.001390277
3/4/64,78.07,-0.000833632
3/5/64,78.06,-5.56324E-05
3/6/64,78.31,0.001388677
3/9/64,78.33,0.000110903
3/10/64,78.59,0.001439162
3/11/64,78.95,0.001984846
3/12/64,79.08,0.000714526
3/13/64,79.14,0.000329385
3/16/64,79.14,0
3/17/64,79.32,0.00098666
3/18/64,79.38,0.000328389
3/19/64,79.3,-0.000437907
3/20/64,78.92,-0.002086111
3/23/64,78.93,5.50262E-05
3/24/64,78.79,-0.000771002
3/25/64,78.97,0.000991038
3/26/64,79.19,0.001208205
3/27/64,79.19,0
3/30/64,79.14,-0.000274297
3/31/64,78.98,-0.000878917
4/1/64,79.24,0.001427337
4/2/64,79.7,0.002513855
4/3/64,79.94,0.001305823
4/6/64,80.02,0.000434403
4/7/64,79.74,-0.001522316
4/8/64,79.75,5.44604E-05
4/9/64,79.7,-0.00027237
4/10/64,79.85,0.000816599
4/13/64,79.77,-0.000435328
4/14/64,79.99,0.001196105
4/15/64,80.09,0.000542597
4/16/64,80.2,0.000596075
4/17/64,80.55,0.001891176
4/20/64,80.5,-0.000269664
4/21/64,80.54,0.000215745
4/22/64,80.49,-0.000269698
4/23/64,80.38,-0.000593926
4/24/64,79.75,-0.00341731
4/27/64,79.35,-0.002183761
4/28/64,79.9,0.002999848
4/29/64,79.7,-0.001088458
4/30/64,79.46,-0.001309761
5/1/64,80.17,0.003863323
5/4/64,80.47,0.001622118
5/5/64,80.88,0.002207141
5/6/64,81.06,0.000965457
5/7/64,81.15,0.000481925
5/8/64,81,-0.000803505
5/11/64,80.9,-0.000536497
5/12/64,81.16,0.001393517
5/13/64,80.97,-0.001017899
5/14/64,80.86,-0.000590402
5/15/64,81.1,0.001287117
5/18/64,80.72,-0.002039701
5/19/64,80.3,-0.002265608
5/20/64,80.66,0.001942672
5/21/64,80.7,0.000215317
5/22/64,80.73,0.000161418
5/25/64,80.56,-0.000915495
5/26/64,80.39,-0.000917429
5/27/64,80.26,-0.000702873
5/28/64,80.37,0.000594813
5/29/64,80.37,0
6/1/64,80.11,-0.001407237
6/2/64,79.7,-0.00222841
6/3/64,79.49,-0.001145824
6/4/64,78.67,-0.004503347
6/5/64,79.02,0.001927875
6/8/64,78.64,-0.002093521
6/9/64,79.14,0.002752541
6/10/64,79.44,0.00164319
6/11/64,79.73,0.001582529
6/12/64,79.6,-0.000708696
6/15/64,79.97,0.002014028
6/16/64,80.4,0.002328953
6/17/64,80.81,0.002209058
6/18/64,80.79,-0.000107499
6/19/64,80.89,0.000537227
6/22/64,81.11,0.001179566
6/23/64,80.77,-0.001824319
6/24/64,81.06,0.001556517
6/25/64,81.21,0.000802911
6/26/64,81.46,0.001334895
6/29/64,81.64,0.00095859
6/30/64,81.69,0.0002659
7/1/64,82.27,0.003072601
7/2/64,82.6,0.00173855
7/3/64,82.6,0
7/6/64,82.98,0.001993383
7/7/64,83.12,0.000732104
7/8/64,83.12,0
7/9/64,83.22,0.000522177
7/10/64,83.36,0.000729994
7/13/64,83.31,-0.000260571
7/14/64,83.06,-0.001305208
7/15/64,83.34,0.001461569
7/16/64,83.64,0.001560528
7/17/64,84.01,0.001916961
7/20/64,83.74,-0.001398028
7/21/64,83.54,-0.001038486
7/22/64,83.52,-0.000103985
7/23/64,83.48,-0.000208045
7/24/64,83.46,-0.00010406
7/27/64,83.08,-0.001981893
7/28/64,82.85,-0.001203975
7/29/64,82.92,0.000366781
7/30/64,83.09,0.000889466
7/31/64,83.18,0.000470157
8/3/64,83,-0.000940824
8/4/64,81.96,-0.005476143
8/5/64,82.09,0.000688306
8/6/64,81.34,-0.003986088
8/7/64,81.86,0.002767572
8/10/64,81.78,-0.000424634
8/11/64,81.76,-0.000106223
8/12/64,82.17,0.002172404
8/13/64,82.41,0.001266627
8/14/64,82.35,-0.000316311
8/17/64,82.36,5.27344E-05
8/18/64,82.4,0.000210874
8/19/64,82.32,-0.00042185
8/20/64,81.94,-0.002009402
8/21/64,82.07,0.000688474
8/24/64,81.91,-0.000847507
8/25/64,81.44,-0.002499161
8/26/64,81.32,-0.000640395
8/27/64,81.7,0.002024687
8/28/64,81.99,0.00153883
8/31/64,81.83,-0.000848335
9/1/64,82.18,0.001853586
9/2/64,82.31,0.000686465
9/3/64,82.56,0.001317083
9/4/64,82.76,0.001050798
9/7/64,82.76,0
9/8/64,82.87,0.000576857
9/9/64,83.05,0.000942298
9/10/64,83.1,0.000261387
9/11/64,83.45,0.001825317
9/14/64,83.22,-0.00119863
9/15/64,83,-0.001149619
9/16/64,83.24,0.001253979
9/17/64,83.79,0.002860119
9/18/64,83.48,-0.00160975
9/21/64,83.86,0.001972418
9/22/64,83.89,0.000155336
9/23/64,83.91,0.000103527
9/24/64,84,0.000465565
9/25/64,84.21,0.001084381
9/28/64,84.28,0.00036086
9/29/64,84.24,-0.000206169
9/30/64,84.18,-0.000309437
10/1/64,84.08,-0.000516218
10/2/64,84.36,0.001443868
10/5/64,84.74,0.001951889
10/6/64,84.79,0.000256176
10/7/64,84.8,5.1217E-05
10/8/64,85.04,0.001227399
10/9/64,85.22,0.000918278
10/12/64,85.24,0.000101911
10/13/64,84.96,-0.001428937
10/14/64,84.79,-0.000869868
10/15/64,84.25,-0.002774726
10/16/64,84.83,0.002979557
10/19/64,84.93,0.000511657
10/20/64,85.18,0.001276512
10/21/64,85.1,-0.000408076
10/22/64,84.94,-0.000817303
10/23/64,85.14,0.001021389
10/26/64,85,-0.00071472
10/27/64,85,0
10/28/64,84.69,-0.001586793
10/29/64,84.73,0.000205074
10/30/64,84.86,0.000665821
11/2/64,85.18,0.001634608
11/3/64,85.18,0
11/4/64,85.14,-0.00020399
11/5/64,85.16,0.000102007
11/6/64,85.23,0.000356836
11/9/64,85.19,-0.00020387
11/10/64,84.84,-0.001787958
11/11/64,85.08,0.001226821
11/12/64,85.19,0.000561137
11/13/64,85.21,0.000101947
11/16/64,85.65,0.002236802
11/17/64,86.03,0.001922556
11/18/64,86.22,0.000958096
11/19/64,86.18,-0.000201529
11/20/64,86.28,0.000503647
11/23/64,86,-0.001411685
11/24/64,85.73,-0.001365628
11/25/64,85.44,-0.001471584
11/26/64,85.44,0
11/27/64,85.16,-0.001425587
11/30/64,84.42,-0.003790305
12/1/64,83.55,-0.004498894
12/2/64,83.79,0.001245736
12/3/64,84.18,0.002016731
12/4/64,84.35,0.000876166
12/7/64,84.33,-0.000102987
12/8/64,84,-0.001702814
12/9/64,83.46,-0.002800906
12/10/64,83.45,-5.20394E-05
12/11/64,83.66,0.001091519
12/14/64,83.45,-0.001091519
12/15/64,83.22,-0.00119863
12/16/64,83.55,0.001718743
12/17/64,83.9,0.001815507
12/18/64,84.29,0.002014093
12/21/64,84.38,0.000463467
12/22/64,84.33,-0.000257421
12/23/64,84.15,-0.00092798
12/24/64,84.15,0
12/25/64,84.15,0
12/28/64,84.07,-0.000413073
12/29/64,83.81,-0.001345207
12/30/64,84.3,0.002531734
12/31/64,84.75,0.002312132
1/1/65,84.75,0
1/4/65,84.23,-0.002672906
1/5/65,84.63,0.00205754
1/6/65,84.89,0.001332193
1/7/65,85.26,0.001888795
1/8/65,85.37,0.000559953
1/11/65,85.4,0.000152589
1/12/65,85.61,0.001066626
1/13/65,85.84,0.001165212
1/14/65,85.84,0
1/15/65,86.21,0.001867936
1/18/65,86.49,0.001408252
1/19/65,86.63,0.000702417
1/20/65,86.6,-0.000150422
1/21/65,86.52,-0.000401381
1/22/65,86.74,0.001102907
1/25/65,86.86,0.000600407
1/26/65,86.94,0.000399811
1/27/65,87.23,0.001446237
1/28/65,87.48,0.001242902
1/29/65,87.56,0.000396979
2/1/65,87.58,9.9188E-05
2/2/65,87.55,-0.00014879
2/3/65,87.63,0.000396661
2/4/65,87.57,-0.000297462
2/5/65,87.29,-0.001390856
2/8/65,86.95,-0.001694907
2/9/65,87.24,0.001446071
2/10/65,86.46,-0.003900426
2/11/65,85.54,-0.004645985
2/12/65,86.17,0.003186847
2/15/65,86.07,-0.00050429
2/16/65,85.67,-0.002023036
2/17/65,85.77,0.000506643
2/18/65,86.05,0.001415465
2/19/65,86.21,0.00080677
2/22/65,86.21,0
2/23/65,86.64,0.002160799
2/24/65,87.17,0.002648602
2/25/65,87.2,0.000149439
2/26/65,87.43,0.001143993
3/1/65,87.25,-0.000895043
3/2/65,87.4,0.000745997
3/3/65,87.26,-0.000696224
3/4/65,86.98,-0.001395805
3/5/65,86.8,-0.000899678
3/8/65,86.83,0.000150076
3/9/65,86.69,-0.000700798
3/10/65,86.54,-0.000752112
3/11/65,86.9,0.001802886
3/12/65,87.21,0.00154651
3/15/65,87.24,0.00014937
3/16/65,87.13,-0.000547943
3/17/65,87.02,-0.000548635
3/18/65,86.81,-0.001049323
3/19/65,86.84,0.000150059
3/22/65,86.83,-5.00138E-05
3/23/65,86.93,0.000499879
3/24/65,87.09,0.000798611
3/25/65,86.84,-0.001248476
3/26/65,86.2,-0.003212549
3/29/65,86.03,-0.000857343
3/30/65,86.2,0.000857343
3/31/65,86.16,-0.000201576
4/1/65,86.32,0.000805741
4/2/65,86.53,0.001055272
4/5/65,86.53,0
4/6/65,86.5,-0.000150596
4/7/65,86.55,0.000250965
4/8/65,87.04,0.00245181
4/9/65,87.56,0.002586871
4/12/65,87.94,0.001880708
4/13/65,88.04,0.000493573
4/14/65,88.24,0.000985466
4/15/65,88.15,-0.000443183
4/16/65,88.15,0
4/19/65,88.51,0.001770024
4/20/65,88.46,-0.000245406
4/21/65,88.3,-0.000786231
4/22/65,88.78,0.002354437
4/23/65,88.88,0.000488905
4/26/65,88.89,4.88603E-05
4/27/65,89.04,0.000732245
4/28/65,89,-0.000195145
4/29/65,88.93,-0.000341714
4/30/65,89.11,0.000878151
5/3/65,89.23,0.000584449
5/4/65,89.51,0.001360664
5/5/65,89.71,0.0009693
5/6/65,89.92,0.001015442
5/7/65,89.85,-0.000338217
5/10/65,89.66,-0.000919347
5/11/65,89.55,-0.000533144
5/12/65,89.94,0.001887293
5/13/65,90.27,0.001590559
5/14/65,90.1,-0.000818651
5/17/65,89.54,-0.002707701
5/18/65,89.46,-0.000388196
5/19/65,89.67,0.001018276
5/20/65,89.18,-0.002379702
5/21/65,88.75,-0.002099106
5/24/65,88.09,-0.003241752
5/25/65,88.6,0.002507112
5/26/65,88.3,-0.001473018
5/27/65,87.84,-0.002268376
5/28/65,88.42,0.002858183
5/31/65,88.42,0
6/1/65,87.72,-0.003451888
6/2/65,87.09,-0.003130332
6/3/65,86.9,-0.000948514
6/4/65,87.11,0.001048237
6/7/65,86.88,-0.001148201
