,SP500,SP500+1,ret_SP500,ret_SP500+1
12/31/63,75.02,75.02,,
1/1/64,75.02,75.43,0,0.546520928
1/2/64,75.43,75.5,0.546520928,0.092801273
1/3/64,75.5,75.67,0.092801273,0.225165563
1/6/64,75.67,75.69,0.225165563,0.026430554
1/7/64,75.69,76,0.026430554,0.409565332
1/8/64,76,76.28,0.409565332,0.368421053
1/9/64,76.28,76.24,0.368421053,-0.052438385
1/10/64,76.24,76.22,-0.052438385,-0.026232949
1/13/64,76.22,76.36,-0.026232949,0.183678824
1/14/64,76.36,76.64,0.183678824,0.366684128
1/15/64,76.64,76.55,0.366684128,-0.11743215
1/16/64,76.55,76.56,-0.11743215,0.013063357
1/17/64,76.56,76.41,0.013063357,-0.195924765
1/20/64,76.41,76.62,-0.195924765,0.274833137
1/21/64,76.62,77.03,0.274833137,0.535108327
1/22/64,77.03,77.09,0.535108327,0.07789173
1/23/64,77.09,77.11,0.07789173,0.025943702
1/24/64,77.11,77.08,0.025943702,-0.03890546
1/27/64,77.08,77.1,-0.03890546,0.025947068
1/28/64,77.1,76.63,0.025947068,-0.609597925
1/29/64,76.63,76.7,-0.609597925,0.091348036
1/30/64,76.7,77.04,0.091348036,0.443285528
1/31/64,77.04,76.97,0.443285528,-0.09086189
2/3/64,76.97,76.88,-0.09086189,-0.116928674
2/4/64,76.88,76.75,-0.116928674,-0.169094693
2/5/64,76.75,76.93,-0.169094693,0.234527687
2/6/64,76.93,77.18,0.234527687,0.324970753
2/7/64,77.18,77.05,0.324970753,-0.168437419
2/10/64,77.05,77.33,-0.168437419,0.363400389
2/11/64,77.33,77.57,0.363400389,0.310358205
2/12/64,77.57,77.52,0.310358205,-0.064457909
2/13/64,77.52,77.48,-0.064457909,-0.051599587
2/14/64,77.48,77.46,-0.051599587,-0.025813113
2/17/64,77.46,77.47,-0.025813113,0.012909889
2/18/64,77.47,77.55,0.012909889,0.10326578
2/19/64,77.55,77.62,0.10326578,0.090264346
2/20/64,77.62,77.62,0.090264346,0
2/21/64,77.62,77.68,0,0.077299665
2/24/64,77.68,77.68,0.077299665,0
2/25/64,77.68,77.87,0,0.244593203
2/26/64,77.87,77.62,0.244593203,-0.3210479
2/27/64,77.62,77.8,-0.3210479,0.231898995
2/28/64,77.8,77.97,0.231898995,0.218508997
3/2/64,77.97,78.22,0.218508997,0.320636142
3/3/64,78.22,78.07,0.320636142,-0.191766812
