yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx
192701,13.21,0.6967,1.2290,0.4437056454,0.0323,0.0466,0.0561,0.0351,0.0508336764,0.0026916667,-0.0112994350,0.0075,0.0056,0.0004698947,,-0.002910,-0.005579
192702,13.84,0.7033,1.2180,0.4285008644,0.0329,0.0467,0.0559,0.0347,0.0516818673,0.0027416667,-0.0057142857,0.0088,0.0069,0.0002873343,,0.045522,0.040566
192703,13.93,0.7100,1.2080,0.4697651174,0.0320,0.0462,0.0554,0.0331,0.0463702548,0.0026666667,-0.0057471264,0.0253,0.0083,0.0009241928,,0.007324,0.002610
192704,14.17,0.7167,1.1970,0.4567541302,0.0339,0.0458,0.0548,0.0333,0.0505183958,0.0028250000,0.0000000000,-0.0005,0.0055,0.0006025886,,0.013021,0.010907
192705,14.91,0.7233,1.1860,0.4347826087,0.0333,0.0457,0.0550,0.0327,0.0552794451,0.0027750000,0.0057803468,0.0109,-0.0011,0.0003917338,,0.062353,0.057096
192706,14.77,0.7300,1.1750,0.4523852494,0.0307,0.0458,0.0555,0.0334,0.0588262568,0.0025583333,0.0114942529,-0.0069,0.0043,0.0008245770,,-0.020370,-0.025705
192707,15.73,0.7367,1.1640,0.4145534730,0.0296,0.0460,0.0555,0.0333,0.0597543281,0.0024666667,-0.0170454545,0.0050,0.0003,0.0004257798,,0.084450,0.081687
192708,16.43,0.7433,1.1530,0.3962274092,0.0270,0.0456,0.0548,0.0329,0.0545255171,0.0022500000,-0.0057803468,0.0076,0.0083,0.0012764139,,0.033320,0.028624
192709,17.14,0.7500,1.1430,0.3805860620,0.0268,0.0454,0.0542,0.0330,0.0946167110,0.0022333333,0.0058139535,0.0018,0.0149,0.0011233495,,0.053016,0.049095
192710,16.23,0.7567,1.1320,0.4138006933,0.0308,0.0451,0.0538,0.0325,0.0943704756,0.0025666667,0.0057803468,0.0099,0.0055,0.0015593375,,-0.046804,-0.048960
192711,17.33,0.7633,1.1210,0.3793955905,0.0304,0.0449,0.0535,0.0320,0.0822700525,0.0025333333,-0.0057471264,0.0097,0.0068,0.0009296591,,0.070546,0.064270
192712,17.66,0.7700,1.1100,0.3746885899,0.0317,0.0446,0.0532,0.0316,0.0764736104,0.0026416667,0.0000000000,0.0072,0.0068,0.0006042041,,0.019295,0.014403
192801,17.57,0.7767,1.1330,0.3786696208,0.0331,0.0446,0.0535,0.0321,0.0626045409,0.0027583333,0.0000000000,-0.0036,0.0027,0.0008605259,,-0.007182,-0.009200
