yyyymm,Month,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx
192612,12,13.49,0.69,1.24,0.441475827,0.0307,0.0468,0.0568,0.0354,0.050886447,0.002558333,0,0.0078,0.0056,0.000464618,NaN,0.026047,0.020321
192701,1,13.21,0.6967,1.229,0.443705645,0.0323,0.0466,0.0561,0.0351,0.050833676,0.002691667,-0.011299435,0.0075,0.0056,0.000469895,,-0.00291,-0.005579
192702,2,13.84,0.7033,1.218,0.428500864,0.0329,0.0467,0.0559,0.0347,0.051681867,0.002741667,-0.005714286,0.0088,0.0069,0.000287334,,0.045522,0.040566
192703,3,13.93,0.71,1.208,0.469765117,0.032,0.0462,0.0554,0.0331,0.046370255,0.002666667,-0.005747126,0.0253,0.0083,0.000924193,,0.007324,0.00261
192704,4,14.17,0.7167,1.197,0.45675413,0.0339,0.0458,0.0548,0.0333,0.050518396,0.002825,0,-0.0005,0.0055,0.000602589,,0.013021,0.010907
192705,5,14.91,0.7233,1.186,0.434782609,0.0333,0.0457,0.055,0.0327,0.055279445,0.002775,0.005780347,0.0109,-0.0011,0.000391734,,0.062353,0.057096
192706,6,14.77,0.73,1.175,0.452385249,0.0307,0.0458,0.0555,0.0334,0.058826257,0.002558333,0.011494253,-0.0069,0.0043,0.000824577,,-0.02037,-0.025705
192707,7,15.73,0.7367,1.164,0.414553473,0.0296,0.046,0.0555,0.0333,0.059754328,0.002466667,-0.017045455,0.005,0.0003,0.00042578,,0.08445,0.081687
192708,8,16.43,0.7433,1.153,0.396227409,0.027,0.0456,0.0548,0.0329,0.054525517,0.00225,-0.005780347,0.0076,0.0083,0.001276414,,0.03332,0.028624
192709,9,17.14,0.75,1.143,0.380586062,0.0268,0.0454,0.0542,0.033,0.094616711,0.002233333,0.005813954,0.0018,0.0149,0.00112335,,0.053016,0.049095
192710,10,16.23,0.7567,1.132,0.413800693,0.0308,0.0451,0.0538,0.0325,0.094370476,0.002566667,0.005780347,0.0099,0.0055,0.001559338,,-0.046804,-0.04896
192711,11,17.33,0.7633,1.121,0.379395591,0.0304,0.0449,0.0535,0.032,0.082270053,0.002533333,-0.005747126,0.0097,0.0068,0.000929659,,0.070546,0.06427
192712,12,17.66,0.77,1.11,0.37468859,0.0317,0.0446,0.0532,0.0316,0.07647361,0.002641667,0,0.0072,0.0068,0.000604204,,0.019295,0.014403
192801,1,17.57,0.7767,1.133,0.378669621,0.0331,0.0446,0.0535,0.0321,0.062604541,0.002758333,0,-0.0036,0.0027,0.000860526,,-0.007182,-0.0092
192802,2,17.26,0.7833,1.155,0.386076599,0.0333,0.0446,0.0533,0.0318,0.055171816,0.002775,-0.011560694,0.0061,0.0068,0.000691124,,-0.012549,-0.016679
192803,3,19.13,0.79,1.177,0.363254838,0.0327,0.0446,0.0532,0.0317,0.054363774,0.002725,0,0.0045,0.0041,0.001381008,,0.105752,0.101652
192804,4,19.75,0.7967,1.2,0.368095261,0.0362,0.0446,0.0533,0.0319,0.049372384,0.003016667,0,-0.0004,0.0014,0.00148796,,0.034725,0.032715
192805,5,20,0.8033,1.222,0.354396979,0.039,0.0449,0.0542,0.0327,0.047187171,0.00325,0.005847953,-0.0077,-0.0078,0.001898859,,0.012325,0.007422
192806,6,19.19,0.81,1.245,0.370299948,0.0392,0.0457,0.0555,0.0326,0.050298066,0.003266667,-0.005813954,0.0041,-0.0024,0.003645477,,-0.03433,-0.038725
192807,7,19.43,0.8167,1.268,0.360648148,0.0412,0.0461,0.0558,0.0344,0.059379849,0.003433333,0,-0.0217,-0.001,0.00167498,,0.010117,0.008278
192808,8,20.87,0.8233,1.29,0.324029783,0.0436,0.0464,0.0561,0.0341,0.057398366,0.003633333,0,0.0076,0.0083,0.001229317,,0.07023,0.065514
192809,9,21.37,0.83,1.312,0.32816581,0.0457,0.0461,0.0559,0.0346,0.027978936,0.003808333,0.011695906,-0.0041,0.003,0.000650464,,0.022409,0.019937
192810,10,21.68,0.8367,1.335,0.308930838,0.047,0.0461,0.0558,0.0336,0.034018303,0.003916667,-0.005780347,0.0158,0.0083,0.000678846,,0.013839,0.012055
192811,11,24.28,0.8433,1.357,0.265525939,0.0426,0.0458,0.0555,0.0338,0.038371644,0.00355,0,0.0003,-0.0036,0.001523296,,0.122975,0.116704
192812,12,24.35,0.85,1.38,0.259666667,0.0426,0.0461,0.056,0.034,0.063068236,0.00355,-0.005813954,0.0004,0.0084,0.00407747,,0.006232,0.002888
192901,1,25.74,0.86,1.399,0.245346603,0.0466,0.0462,0.0563,0.0349,0.078447907,0.003883333,0,-0.009,0.0043,0.001700823,,0.055473,0.053892
192902,2,25.59,0.87,1.418,0.2454239,0.0439,0.0466,0.0566,0.0363,0.071781969,0.003658333,0,-0.0157,0.003,0.002670117,,-0.004874,-0.008075
192903,3,25.53,0.88,1.438,0.27230047,0.046,0.047,0.0579,0.0377,0.079802984,0.003833333,-0.005847953,-0.0144,-0.0087,0.003611407,,0.000154,-0.003213
192904,4,25.94,0.89,1.457,0.263396912,0.048,0.0469,0.058,0.0358,0.099320357,0.004,-0.005882353,0.0275,0.0019,0.002304362,,0.019559,0.018234
192905,5,24.83,0.9,1.476,0.282774621,0.0509,0.047,0.058,0.0373,0.117984873,0.004241667,0.00591716,-0.0162,0.0045,0.004759808,,-0.041281,-0.046101
192906,6,27.62,0.91,1.495,0.253580582,0.048,0.0477,0.0594,0.0367,0.116195795,0.004,0.005882353,0.011,-0.0046,0.00134038,,0.112294,0.109584
192907,7,28.88,0.92,1.514,0.24187518,0.0455,0.0477,0.0595,0.0369,0.110686762,0.003791667,0.011695906,0,0.002,0.001281813,,0.050014,0.048186
192908,8,31.71,0.93,1.533,0.221123761,0.047,0.0479,0.0604,0.0375,0.115276753,0.003916667,0,-0.0034,0.002,0.003382102,,0.094871,0.090733
192909,9,30.16,0.94,1.552,0.244868249,0.0458,0.048,0.0612,0.0375,0.121389823,0.003816667,0,0.0027,0.0034,0.003392282,,-0.050941,-0.053046
192910,10,24.15,0.95,1.572,0.307484187,0.0437,0.0477,0.0611,0.0347,0.15961189,0.003641667,0,0.0382,0.0073,0.053507543,,-0.18615,-0.188115
192911,11,20.92,0.96,1.591,0.351956476,0.0347,0.0476,0.0603,0.0331,0.177040028,0.002891667,0,0.0236,-0.0018,0.036448746,,-0.125359,-0.130374
192912,12,21.45,0.97,1.61,0.338457824,0.0303,0.0467,0.0595,0.034,0.163522459,0.002525,-0.005780347,-0.0089,0.0192,0.01021463,,0.027753,0.023571
193001,1,22.79,0.9708,1.557,0.314816201,0.0339,0.0466,0.0592,0.0347,0.153314544,0.002825,-0.005813954,-0.0057,0.0059,0.001433161,,0.059632,0.057032
193002,2,23.28,0.9717,1.503,0.310206189,0.0336,0.0469,0.0589,0.0339,0.159256115,0.0028,-0.005847953,0.0129,0.0072,0.001724706,,0.026041,0.021516
193003,3,25.14,0.9725,1.45,0.319119189,0.0295,0.0462,0.0573,0.0335,0.145496824,0.002458333,-0.005882353,0.0083,0.0138,0.001504044,,0.072348,0.069351
193004,4,24.9,0.9733,1.397,0.326970598,0.03,0.046,0.057,0.0338,0.12968237,0.0025,0.00591716,-0.0016,0.0084,0.001933862,,-0.013938,-0.015867
193005,5,24.49,0.9742,1.343,0.331915512,0.0241,0.046,0.0572,0.0329,0.12492754,0.002008333,-0.005882353,0.0139,0.0057,0.004693439,,-0.011148,-0.015304
193006,6,20.46,0.975,1.29,0.403375453,0.0189,0.0457,0.0578,0.0328,0.131002488,0.001575,-0.00591716,0.0051,0.011,0.014447862,,-0.155715,-0.159182
193007,7,21.21,0.9758,1.237,0.390187615,0.0183,0.0452,0.0577,0.0327,0.140551964,0.001525,-0.011904762,0.0034,0.0056,0.004920446,,0.038713,0.036395
193008,8,21.37,0.9767,1.183,0.379752101,0.0153,0.0447,0.0573,0.0328,0.121495714,0.001275,-0.006024096,0.0013,0.0136,0.004049927,,0.011266,0.006691
193009,9,18.59,0.9775,1.13,0.445583211,0.0177,0.0442,0.0565,0.0324,0.127201771,0.001475,0.006060606,0.0074,0.0108,0.003738406,,-0.123549,-0.127635
193010,10,16.94,0.9783,1.077,0.497954731,0.0174,0.0442,0.0594,0.0324,0.129492088,0.00145,-0.006024096,0.0035,0.0054,0.012876666,,-0.08368,-0.086394
193011,11,16.57,0.9792,1.023,0.504670831,0.014,0.0447,0.0625,0.0322,0.137752863,0.001166667,-0.006060606,0.0042,-0.0012,0.007160072,,-0.019736,-0.024113
193012,12,15.34,0.98,0.97,0.554745413,0.0148,0.0452,0.0671,0.033,0.113885963,0.001233333,-0.018292683,-0.007,-0.009,0.008166329,,-0.071479,-0.077707
193101,1,16.09,0.9667,0.94,0.539152002,0.0124,0.0442,0.0641,0.0343,0.089710821,0.001033333,-0.01242236,-0.0121,0.0203,0.005224312,,0.059527,0.056729
193102,2,17.93,0.9533,0.91,0.479667963,0.0106,0.0443,0.0638,0.0338,0.082533971,0.000883333,-0.012578616,0.0085,0.0068,0.002884626,,0.110943,0.105279
193103,3,16.69,0.94,0.88,0.529125087,0.0138,0.0439,0.0644,0.0332,0.073969362,0.00115,-0.006369427,0.0104,0.0094,0.004168752,,-0.068939,-0.073451
193104,4,15.09,0.9267,0.85,0.603214498,0.0149,0.044,0.0672,0.0327,0.077767867,0.001241667,-0.006410256,0.0086,0.0067,0.006709266,,-0.092955,-0.09546
193105,5,13.02,0.9133,0.82,0.709948622,0.0088,0.0437,0.0715,0.0317,0.071366603,0.000733333,-0.012903226,0.0145,0.0134,0.006910695,,-0.137674,-0.14302
193106,6,14.83,0.9,0.79,0.607271275,0.0055,0.0436,0.0736,0.0319,0.063744572,0.000458333,-0.013071895,0.0004,0.0052,0.02333295,,0.146492,0.139763
193107,7,13.73,0.8867,0.76,0.673609572,0.0041,0.0436,0.0708,0.0325,0.033992031,0.000341667,0,-0.0042,0.0052,0.007039256,,-0.075465,-0.07857
193108,8,13.86,0.8733,0.73,0.654185496,0.0042,0.044,0.0747,0.0326,0.020142587,0.00035,0,0.0012,0.0012,0.00454204,,0.007779,0.002304
